x,sec(x)
-4.88692190558384,5.758780211731525
-4.799655442984124,11.473711515372292
-4.712388980384407,-3.538509595444868E12
-4.625122517784691,-11.473711515298175
-4.5378560551849745,-5.758780211713092
-4.450589592585258,-3.8637059453117932
-4.363323129985542,-2.9238052974886304
-4.276056667385825,-2.366201926201459
-4.188790204786109,-1.99999445085201
-4.101523742186393,-1.7434442555690297
-4.014257279586676,-1.555722630188974
-3.92699081698696,-1.4142129884064922
-3.8397243543872435,-1.305407011277916
-3.752457891787527,-1.2207744535472438
-3.6651914291878107,-1.1547036673492106
-3.5779249665880943,-1.1033795646925273
-3.490658503988378,-1.0641786328210585
